Situação,Imagem,Ano,KM,Título,UF,Link,Valor do Lance,Data Leilão
Leilão ao vivo em: 3 dias 13h12m59s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750268953743_ae7d5179-aa6e-46ad-b36b-0b05d63c6169_pequena_leilo.webp,2014,132.189 km,VOLKSWAGEN/NOVO CROSSFOX SA (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-crossfox-sa-(4p)/ano.2015/40106c34-e7a2-11ef-903d-02420a000042,"R$ 26.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h13m28s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270113399_ddd0412f-fdb1-401f-81fe-d9ae898a2202_pequena_leilo.webp,2013,153.117 km,NISSAN/MARCH S FLEX (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/march-s-flex-(4p)/ano.2014/471b728b-e7ea-11ef-903d-02420a000042,"R$ 19.900,00",24/06/2025
Leilão ao vivo em: 3 dias 13h13m55s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270092088_a8a9550b-25d2-4073-b775-fc3bdf680c62_pequena_leilo.webp,2011,195.557 km,KIA/CERATO EX3 NB (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/kia/cerato-ex3-nb-(4p)/ano.2012/6b4b0a9d-e86f-11ef-903d-02420a000042,"R$ 15.000,00",24/06/2025
Leilão: Leilão: 24/06/2025 Ter • 12:30,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2021,142.139 km,HYUNDAI/HB20S VISION,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20s-vision/ano.2022/c7153406-4adb-11f0-b593-02420a000005,"R$ 35.800,00",24/06/2025
Leilão ao vivo em: 3 dias 13h14m52s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270055910_ca492ef0-5e0c-475c-8c57-1f37433b7873_pequena_leilo.webp,2011,N/A,PEUGEOT/408 ALLURE (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/408-allure-(4p)/ano.2012/bd3a7a51-f383-11ef-bd15-02420a00000b,"R$ 16.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h15m22s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270008295_f9e3ad46-d61d-4e60-b697-64e1a7d3027e_pequena_leilo.webp,2012,177.860 km,FORD/FOCUS HC FLEX (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/focus-hc-flex-(4p)/ano.2012/16789799-f5ce-11ef-bd15-02420a00000b,"R$ 17.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h15m51s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269990135_a52d917c-8218-471e-a495-b7e3fb9ffb47_pequena_leilo.webp,2018,100.873 km,VOLKSWAGEN/GOL MC4 (4P/2P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2019/7f22bb41-f690-11ef-9028-02420a000044,"R$ 25.800,00",24/06/2025
Leilão ao vivo em: 3 dias 13h16m21s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269944409_12b19a43-5d14-40cd-a980-7cfba5f6d6fc_pequena_leilo.webp,2016,149.685 km,FIAT/SIENA ATTRACTIVE (2P/4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/siena-attractive-(2p%2F4p)/ano.2016/76b7a8d9-04cd-11f0-8c72-02420a00002d,"R$ 21.900,00",24/06/2025
Leilão ao vivo em: 3 dias 13h16m50s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750450065621_8d6d9cab-0726-4c67-b6f8-85ed4501fbab_pequena_leilo.webp,2007,49.804 km,FORD/FUSION (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fusion-(4p)/ano.2007/9f1e222f-4a27-11ed-a391-02420a000011,"R$ 15.700,00",24/06/2025
Leilão ao vivo em: 3 dias 13h17m20s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750442524835_05631908-2062-4936-a963-65102aeaf510_pequena_leilo.webp,2021,147.742 km,RENAULT/LOGAN ZEN,DF,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/renault/logan-zen/ano.2022/a1d47fbb-4c44-11f0-b593-02420a000005,"R$ 32.400,00",24/06/2025
Leilão ao vivo em: 3 dias 13h17m49s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269967360_50ba5957-288a-46bc-9daa-02f00c059d33_pequena_leilo.webp,2017,138.221 km,CHEVROLET/ONIX JOYE (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-(4p)/ano.2018/5ed81e23-fe74-11ef-8c72-02420a00002d,"R$ 20.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h18m18s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275872114_7cc201b9-5a08-41d4-9789-7f2182142b41_pequena_leilo.webp,2014,134.016 km,FIAT/UNO EVOLUTION (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/uno-evolution-(4p)/ano.2015/08195487-ff57-11ef-8c72-02420a00002d,"R$ 23.200,00",24/06/2025
Leilão ao vivo em: 3 dias 13h18m46s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750450208606_4b3e6bf1-8e16-404c-898f-4907f3b7619d_pequena_leilo.webp,2012,145.819 km,FORD/FIESTA 1.6 FLEX (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-1.6-flex-(4p)/ano.2013/f38f1f4a-04b3-11f0-8c72-02420a00002d,"R$ 17.100,00",24/06/2025
Leilão ao vivo em: 3 dias 13h19m15s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750450278790_f492ca82-317f-409d-8e10-5682a298b16d_pequena_leilo.webp,2019,66.477 km,VOLKSWAGEN/GOL MC4 (4P/2P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2020/ed3cf1b0-e4a0-11ef-903d-02420a000042,"R$ 26.100,00",24/06/2025
Leilão ao vivo em: 3 dias 13h19m42s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269913509_23feda40-c462-4ece-aa67-a4578af399dd_pequena_leilo.webp,2014,186.825 km,HYUNDAI/HB20S PREMIUM (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20s-premium-(4p)/ano.2015/46a387a8-03f1-11f0-8c72-02420a00002d,"R$ 27.400,00",24/06/2025
Leilão ao vivo em: 3 dias 13h20m11s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269853957_4d0ff86d-f220-4934-b1ce-baa8a2c94ceb_pequena_leilo.webp,2009,294.172 km,VOLKSWAGEN/FOX GII 1.0 (2P/4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.0-(2p%2F4p)/ano.2010/31b6b530-0a42-11f0-8c72-02420a00002d,"R$ 10.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h20m39s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269802551_993796e0-1e24-4773-9370-216b75bcfab9_pequena_leilo.webp,2013,192.080 km,FORD/FIESTA FLEX (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-flex-(4p)/ano.2014/fbc52f1c-0e21-11f0-8c72-02420a00002d,"R$ 13.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h21m9s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750274966394_8f671dd9-a3c7-4533-81fc-7bdc6bb121f4_pequena_leilo.webp,2013,103.029 km,FIAT/BRAVO SPORTING (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/bravo-sporting-(4p)/ano.2014/dd562457-eeee-11ef-bd15-02420a00000b,"R$ 24.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h21m38s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269759705_9349349e-1685-474f-944c-e93f81c7ec89_pequena_leilo.webp,2018,77.529 km,VOLKSWAGEN/POLO MCA,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/polo-mca/ano.2018/5e069401-0ffc-11f0-8c72-02420a00002d,"R$ 39.400,00",24/06/2025
Leilão ao vivo em: 3 dias 13h22m7s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275029388_f098af4d-0494-4b3e-a51d-9132e81871a8_pequena_leilo.webp,2010,N/A,CHEVROLET/CORSA SEDAN PREMIUM (2P/4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/corsa-sedan-premium-(2p%2F4p)/ano.2011/c5436989-29bf-11f0-9f79-02420a000005,"R$ 15.600,00",24/06/2025
Leilão ao vivo em: 3 dias 13h22m36s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275103794_dcff7ff1-3aa4-49b3-bf8b-05966f5cd596_pequena_leilo.webp,2019,91.922 km,RENAULT/SANDERO AUTHENTIQUE (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/sandero-authentique-(4p)/ano.2020/9dc0f165-3bc7-11f0-b593-02420a000005,"R$ 25.100,00",24/06/2025
Leilão ao vivo em: 3 dias 13h23m6s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750450395368_d23938cf-bcd1-408e-afb4-d19144f44764_pequena_leilo.webp,2010,361.197 km,VOLKSWAGEN/FOX GII 1.0 (2P/4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.0-(2p%2F4p)/ano.2011/821d9f05-3265-11f0-9f79-02420a000005,"R$ 15.800,00",24/06/2025
Leilão ao vivo em: 3 dias 13h23m35s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275865018_6d1df51b-ac70-431c-a62e-7d509a7afd7d_pequena_leilo.webp,2009,N/A,CITROEN/C4 EXCLUSIVE A 5P F (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/citroen/c4-exclusive-a-5p-f-(4p)/ano.2010/6584a882-1088-11f0-8c72-02420a00002d,"R$ 8.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h24m5s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275146741_2bb7b619-06e5-4734-8d82-3a37fb1b9a5c_pequena_leilo.webp,2010,N/A,FORD/FOCUS HC FLEX (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/focus-hc-flex-(4p)/ano.2011/61ccad1e-34e3-11f0-9f79-02420a000005,"R$ 18.100,00",24/06/2025
Leilão ao vivo em: 3 dias 13h24m34s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269704277_5728c0b4-6dbd-4dca-930e-08c20e29b420_pequena_leilo.webp,2010,153.665 km,VOLKSWAGEN/FOX GII 1.0 (2P/4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.0-(2p%2F4p)/ano.2011/69c88b4c-4163-11f0-b593-02420a000005,"R$ 12.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h25m33s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750450470620_953d9ffe-36bb-4114-97ab-6cacc5dd6a06_pequena_leilo.webp,2018,294.887 km,CHEVROLET/PRISMA JOYE 1.0 MECANICO (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/prisma-joye-1.0-mecanico-(4p)/ano.2019/19f4c42f-3a38-11f0-9677-02420a00000b,"R$ 23.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h26m2s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269669151_44221607-83de-4099-bfb1-5064f62cf41a_pequena_leilo.webp,2013,165.684 km,FIAT/PUNTO ATTRACTIVE (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/punto-attractive-(4p)/ano.2013/01a16a85-1a32-11f0-bf87-02420a000088,"R$ 20.700,00",24/06/2025
Leilão ao vivo em: 3 dias 13h27m1s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270758411_9bcf33b4-aa0f-4753-b66c-cf98cd2f6d47_pequena_leilo.webp,2013,121.131 km,FIAT/SIENA TETRAFUEL 1.4 (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/siena-tetrafuel-1.4-(4p)/ano.2014/17cf3c03-2431-11f0-bcc9-02420a000216,"R$ 19.200,00",24/06/2025
Leilão ao vivo em: 3 dias 13h27m29s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270722296_4a6630c4-759c-4d68-922b-2af3be89c451_pequena_leilo.webp,2009,154.980 km,VOLKSWAGEN/GOL 1.0 (2P/4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2009/7ff237a0-301e-11f0-9f79-02420a000005,"R$ 13.300,00",24/06/2025
Leilão ao vivo em: 3 dias 13h27m43s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270786249_52504af2-20c6-4f6d-ac75-18be9061c50a_pequena_leilo.webp,2021,54.590 km,HYUNDAI/HB20S VISION,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20s-vision/ano.2022/4401fc0d-3319-11f0-9f79-02420a000005,"R$ 41.400,00",24/06/2025
Leilão ao vivo em: 3 dias 13h28m10s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275617797_0189f817-d85e-40ee-adce-807260782be7_pequena_leilo.webp,2013,217.022 km,VOLKSWAGEN/FOX GII 1.6 (4P/2P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.6-(4p%2F2p)/ano.2013/5647e43f-34b9-11f0-9f79-02420a000005,"R$ 17.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h29m39s,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2011,174.238 km,FIAT/UNO MILLE ECONOMY (2P/4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/uno-mille-economy-(2p%2F4p)/ano.2012/e5b098fa-3662-11f0-bd5d-02420a000005,"R$ 11.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h31m38s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275689869_58bd1197-4b56-4f2f-87f2-a0650c5f10bf_pequena_leilo.webp,2016,207.879 km,FORD/KA SEL B (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-sel-b-(4p)/ano.2017/15fd2d79-3673-11f0-bd5d-02420a000005,"R$ 23.600,00",24/06/2025
Leilão ao vivo em: 3 dias 13h32m7s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275666799_1f925ef9-e9e9-49e0-9965-6c6ef4222cb0_pequena_leilo.webp,2021,121.381 km,VOLKSWAGEN/GOL MC5 (4P/2P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mc5-(4p%2F2p)/ano.2022/f8200357-3704-11f0-bd5d-02420a000005,"R$ 29.300,00",24/06/2025
Leilão ao vivo em: 3 dias 13h33m37s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275778595_37d26e4a-37e7-45e5-9f50-e06603cd87e5_pequena_leilo.webp,2014,104.810 km,HONDA/FIT EX CVT (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/honda/fit-ex-cvt-(4p)/ano.2015/d61c555d-3a54-11f0-9677-02420a00000b,"R$ 35.600,00",24/06/2025
Leilão ao vivo em: 3 dias 13h34m36s,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2012,124.388 km,VOLKSWAGEN/NOVO GOL (2P/4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-gol-(2p%2F4p)/ano.2013/4db0df72-3007-11f0-9f79-02420a000005,"R$ 15.800,00",24/06/2025
Leilão ao vivo em: 3 dias 13h35m6s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275759561_a2cff0b8-8d49-47a9-8f3d-2a7934bbf40d_pequena_leilo.webp,2013,150.770 km,FORD/FIESTA HATCH S (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-hatch-s-(4p)/ano.2014/9d7c45e1-3b07-11f0-b593-02420a000005,"R$ 17.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h35m35s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275789346_4a40eddc-2a62-435e-9c15-c45882ab511a_pequena_leilo.webp,2016,110.001 km,VOLKSWAGEN/FOX COMFORTLINE MBV (4P/2P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-comfortline-mbv-(4p%2F2p)/ano.2017/5d0dbeac-3b25-11f0-b593-02420a000005,"R$ 27.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h36m5s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275267033_b853b728-9521-4c0d-acf9-669013f7ec88_pequena_leilo.webp,2012,144.355 km,MITSUBISHI/LANCER (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mitsubishi/lancer-(4p)/ano.2013/7babbdd0-318f-11f0-9f79-02420a000005,"R$ 29.400,00",24/06/2025
Leilão ao vivo em: 3 dias 13h36m34s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275829075_e35be68c-9834-4c46-b55e-5e477fd8abc8_pequena_leilo.webp,2014,95.893 km,AUDI/A4 TFSI (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/audi/a4-tfsi-(4p)/ano.2014/fa28f9e0-3b2b-11f0-b593-02420a000005,"R$ 44.800,00",24/06/2025
Leilão ao vivo em: 3 dias 13h37m34s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270360944_5c14e30e-f089-461c-9cfd-452b3f88ccbf_pequena_leilo.webp,2016,N/A,FORD/KA SEL B (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-sel-b-(4p)/ano.2017/f37e117a-3d65-11f0-b593-02420a000005,"R$ 17.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h38m3s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270331503_52fbbae9-72f8-438c-bf44-9cff28cf486e_pequena_leilo.webp,2016,148.942 km,RENAULT/KANGOO EXPRESS (2P/4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/kangoo-express-(2p%2F4p)/ano.2017/25fda08a-3d6e-11f0-b593-02420a000005,"R$ 28.300,00",24/06/2025
Leilão ao vivo em: 3 dias 13h38m33s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270244381_9634370d-dd1a-4d3a-9ebc-fd275ed22eb3_pequena_leilo.webp,2016,178.859 km,FORD/FOCUS TITANIUM AT SC (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/focus-titanium-at-sc-(4p)/ano.2016/deff3772-3d7b-11f0-b593-02420a000005,"R$ 33.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h39m1s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275250878_0ab7bdf9-8e7f-4e46-b9b4-58e678d63e47_pequena_leilo.webp,2022,63.499 km,RENAULT/KWID INTENSE 2 (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/kwid-intense-2-(4p)/ano.2023/3601c950-406f-11f0-b593-02420a000005,"R$ 30.500,00",24/06/2025
Leilão ao vivo em: 3 dias 13h39m29s,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2022,138.942 km,RENAULT/LOGAN ZEN,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/logan-zen/ano.2023/22458b7d-408c-11f0-b593-02420a000005,"R$ 30.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h39m58s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275310906_30ed6cdf-6c66-46e7-bad8-1e440c85202a_pequena_leilo.webp,2011,148.523 km,VOLKSWAGEN/TIGUAN TSI,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/tiguan-tsi/ano.2011/63acf323-40a0-11f0-b593-02420a000005,"R$ 24.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h40m27s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275350544_5dd5354e-d599-4837-88a9-9f8f6971348b_pequena_leilo.webp,2021,208.206 km,RENAULT/KWID ZEN 1.0 MECANICO (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/kwid-zen-1.0-mecanico-(4p)/ano.2022/595ce0b9-40a5-11f0-b593-02420a000005,"R$ 23.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h40m55s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275376406_798dbe51-159e-4abd-9155-d62f29fcf2b1_pequena_leilo.webp,2013,117.171 km,RENAULT/CLIO EXPRESSION 10 16VH (4P/2P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/clio-expression-10-16vh-(4p%2F2p)/ano.2014/33890cea-40ab-11f0-b593-02420a000005,"R$ 13.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h41m24s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750440984548_2d9a0e94-e27b-4daf-b8cd-bbce97f80d5f_pequena_leilo.webp,2012,156.228 km,FIAT/IDEA ATTRACTIVE,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/idea-attractive/ano.2012/b490929c-4135-11f0-b593-02420a000005,"R$ 17.400,00",24/06/2025
Leilão ao vivo em: 3 dias 13h41m53s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275411445_0209acf5-1458-4c1c-a77b-457f35a13a44_pequena_leilo.webp,2019,152.984 km,VOLKSWAGEN/GOL MB5 (4P/2P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mb5-(4p%2F2p)/ano.2019/875d5000-415e-11f0-b593-02420a000005,"R$ 26.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h42m23s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275432759_4686fc09-2c62-4ddf-a526-56e83232ae38_pequena_leilo.webp,2011,216.094 km,VOLKSWAGEN/FOX GII 1.6 (4P/2P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.6-(4p%2F2p)/ano.2012/9c49093a-416a-11f0-b593-02420a000005,"R$ 17.000,00",24/06/2025
Leilão: Leilão: 24/06/2025 Ter • 12:30,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2014,143.322 km,FIAT/FIORINO 1.4 FLEX,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/fiorino-1.4-flex/ano.2015/6c13e750-453e-11f0-b593-02420a000005,"R$ 28.400,00",24/06/2025
Leilão ao vivo em: 3 dias 13h44m21s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275536963_e607c0ee-0535-4006-bdf6-6fbd649941e8_pequena_leilo.webp,2019,58.722 km,VOLKSWAGEN/GOL MC4 (4P/2P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2020/d70d71de-462f-11f0-b593-02420a000005,"R$ 30.200,00",24/06/2025
Leilão ao vivo em: 3 dias 13h44m51s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750442824145_f2fcffcf-0fce-4e32-80e6-af2917760b1f_pequena_leilo.webp,2013,143.586 km,VOLKSWAGEN/NOVA SAVEIRO CABINE ESTENDIDA (2P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/nova-saveiro-cabine-estendida-(2p)/ano.2014/da9dbc02-463b-11f0-b593-02420a000005,"R$ 26.200,00",24/06/2025
Leilão ao vivo em: 3 dias 13h45m20s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275515869_dc0b2dbc-b521-4462-8eef-96bcc6e1ab67_pequena_leilo.webp,2014,110.509 km,FIAT/PALIO ATTRACT (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-attract-(4p)/ano.2015/486df81e-1ab6-11f0-abeb-02420a0000a3,"R$ 21.900,00",24/06/2025
Leilão ao vivo em: 3 dias 13h45m49s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750274806741_ce5096d5-058f-461a-ae09-3f8d2ef487c9_pequena_leilo.webp,2015,156.829 km,RENAULT/SANDERO AUTHENTIQUE (2P/4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/sandero-authentique-(2p%2F4p)/ano.2016/a1b0d4d6-2b3c-11f0-9f79-02420a000005,"R$ 17.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h46m49s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750442595483_fbd32a75-62da-4e67-abec-22d24c83d74b_pequena_leilo.webp,2012,165.821 km,FIAT/FREEMONT PRECISIO,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/freemont-precisio/ano.2012/d2675259-0b3a-11f0-8c72-02420a00002d,"R$ 24.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h47m18s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750442621559_807cf299-74a2-48c7-b09b-e72535b1308d_pequena_leilo.webp,2014,148.654 km,MINI/COOPER S (2P/4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mini/cooper-s-(2p%2F4p)/ano.2015/d7a6c0c3-213b-11f0-bcc9-02420a000216,"R$ 53.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h47m46s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750442682181_1d639f81-9685-4f4d-9ecc-c8e946637d33_pequena_leilo.webp,2013,200.464 km,VOLVO/XC60 T5 DYNAMIC,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volvo/xc60-t5-dynamic/ano.2014/eac0a681-1a37-11f0-bf87-02420a000088,"R$ 35.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h47m58s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750274777499_d64b32a4-803f-41c1-be52-565109edfd18_pequena_leilo.webp,2020,90.345 km,FORD/KA SE PLUS AT C,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-se-plus-at-c/ano.2021/50b0e50f-2080-11f0-bcc9-02420a000216,"R$ 30.500,00",24/06/2025
Leilão ao vivo em: 3 dias 13h48m27s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750274836315_b0f670e1-f827-422d-8a68-bbe478eda909_pequena_leilo.webp,2023,75.593 km,CHEVROLET/ONIX PLUS 10MT LT2,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-plus-10mt-lt2/ano.2024/3f179089-0be7-11f0-8c72-02420a00002d,"R$ 42.100,00",24/06/2025
