veiculo_titulo,veiculo_link_lote,veiculo_imagem,veiculo_patio_uf,veiculo_ano_fabricacao,veiculo_km,veiculo_valor_lance_atual,veiculo_situacao,veiculo_data_leilao,veiculo_tipo_combustivel,veiculo_cor,veiculo_possui_chave,veiculo_tipo_retomada,veiculo_tipo,veiculo_valor_fipe,veiculo_fabricante,veiculo_modelo,veiculo_versao
FORD/FIESTA HATCH SE A (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-hatch-se-a-(4p)/ano.2015/da9ff667-4b91-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173130529_b2b91dde-e16c-463f-af55-f67977440066_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2015,92.632,24100.00,Leilão ao vivo em: 3 dias4m49s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,42983.00,FORD,FIESTA,HATCH SE A (4P)
CITROEN/C4 GLX5P F (4P),https://leilo.com.br/leilao/cuiaba-mato-grosso/carros/citroen/c4-glx5p-f-(4p)/ano.2014/f33e5d8c-120e-11ef-b80e-02420a000059,https://leilo.com.br/lote/fotos-modelo/carro.jpg,CUIABA-MT (CUIABÁ/MT),2013,N/A,21400.00,Leilão ao vivo em: 3 dias5m19s,15/07/2025,Flex,Preta,Não,Recuperado de Financiamento,Carros,38789.00,CITROEN,C4,GLX5P F (4P)
TOYOTA/COROLLA XEI FLEX (4P),https://leilo.com.br/leilao/cuiaba-mato-grosso/carros/toyota/corolla-xei-flex-(4p)/ano.2016/5779237d-870a-11ef-8310-02420a000019,https://leilo.com.br/lote/fotos-modelo/carro.jpg,CUIABA-MT (CUIABÁ/MT),2015,116.845,46600.00,Leilão ao vivo em: 3 dias5m49s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,84601.00,TOYOTA,COROLLA,XEI FLEX (4P)
FORD/FIESTA HATCH S (4P),https://leilo.com.br/leilao/cuiaba-mato-grosso/carros/ford/fiesta-hatch-s-(4p)/ano.2015/f414fed7-8712-11ef-8310-02420a000019,https://leilo.com.br/lote/fotos-modelo/carro.jpg,CUIABA-MT (CUIABÁ/MT),2014,154.636,23000.00,Leilão ao vivo em: 3 dias6m18s,15/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,41736.00,FORD,FIESTA,HATCH S (4P)
CHEVROLET/ONIX PLUS 10TMT LTZ,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/chevrolet/onix-plus-10tmt-ltz/ano.2020/cf1eb207-eae7-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239164758_d47c127e-374c-41c6-aea2-5e139b02a5c9_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2019,109.468,37400.00,Leilão ao vivo em: 3 dias6m48s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,66928.00,CHEVROLET,ONIX,PLUS 10TMT LTZ
CHEVROLET/TRACKER A LT,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/chevrolet/tracker-a-lt/ano.2021/4f18311b-ea09-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239370503_44587406-045e-4ae3-9d67-f4a7db6b21f8_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2020,146.371,53000.00,Leilão ao vivo em: 3 dias7m17s,15/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,92048.00,CHEVROLET,TRACKER,A LT
CHEVROLET/ONIX PLUS 10MT LT2,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-plus-10mt-lt2/ano.2024/f6828584-1606-11f0-b6cf-02420a00009e,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239402272_4fdf322b-ded4-46b2-adbe-b92709ebf4ae_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2023,16.073,41700.00,Leilão ao vivo em: 3 dias7m47s,15/07/2025,Flex,Vermelha,Sim,Recuperado de Financiamento,Carros,75115.00,CHEVROLET,ONIX,PLUS 10MT LT2
CITROEN/C3 GLX 14 FLEX (2P/4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/citroen/c3-glx-14-flex-(2p%2F4p)/ano.2008/31306f9e-24f2-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158673905_c1704242-0947-45b4-85d2-06029524a554_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2008,229.530,10300.00,Leilão ao vivo em: 3 dias8m46s,15/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,18701.00,CITROEN,C3,GLX 14 FLEX (2P/4P)
VOLKSWAGEN/GOL 1.0 GIV (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-1.0-giv-(2p%2F4p)/ano.2011/0f13e960-0ca1-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158706071_e6a0f4ed-f13d-450f-8cf0-1da84ee09ee8_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2010,270.566,13500.00,Leilão ao vivo em: 3 dias9m15s,15/07/2025,Flex,Branca,Sim,-,Carros,21859.00,VOLKSWAGEN,GOL,1.0 GIV (2P/4P)
PORSCHE/CAYENNE V6,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/porsche/cayenne-v6/ano.2008/9d670479-d1ba-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158640553_aa49d0b5-d4e1-4ad1-99aa-1f36165d055b_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2007,143.410,45300.00,Leilão ao vivo em: 3 dias9m45s,15/07/2025,Gasolina,Cinza,Sim,Recuperado de Financiamento,Carros,82199.00,PORSCHE,CAYENNE,V6
FIAT/TORO FREEDOM MT D CABINE DUPLA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/toro-freedom-mt-d-cabine-dupla/ano.2017/09cd7346-564c-11ef-ae95-02420a0000a0,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158700825_c81baef1-f64b-4be3-84f0-ef5dff26129f_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2016,120.017,47800.00,Leilão ao vivo em: 3 dias10m14s,15/07/2025,Diesel,Verde,Sim,-,Carros,85836.00,FIAT,TORO,FREEDOM MT D CABINE DUPLA
VOLKSWAGEN/VIRTUS HIGHLINE AD,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/volkswagen/virtus-highline-ad/ano.2019/c3a88471-27f0-11ef-b7fa-02420a00001f,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158610908_955ad3f3-05f5-4897-814f-f3c668ef5ae4_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2019,83.080,43300.00,Leilão ao vivo em: 3 dias10m28s,15/07/2025,Flex,Prata,Não,Recuperado de Financiamento,Carros,78713.00,VOLKSWAGEN,VIRTUS,HIGHLINE AD
BMW/X1 SDRIVE 18I VL31,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/bmw/x1-sdrive-18i-vl31/ano.2013/d79ca399-203d-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158581676_9e32ef11-33f6-4d91-884b-ed35f19dcdb8_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2013,137.862,42200.00,Leilão ao vivo em: 3 dias10m56s,15/07/2025,Gasolina,Branca,Sim,Recuperado de Financiamento,Carros,70335.00,BMW,X1,SDRIVE 18I VL31
PEUGEOT/307 PRESENCE PACK (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/307-presence-pack-(4p)/ano.2009/4cf556b3-4a27-11ed-a391-02420a000011,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158551719_8e3c6def-55a0-4ae7-b1fa-2b220c97d472_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2008,138.245,12500.00,Leilão ao vivo em: 3 dias11m24s,15/07/2025,Flex,Prata,Não,Recuperado de Financiamento,Carros,22607.00,PEUGEOT,307,PRESENCE PACK (4P)
FIAT/PALIO FIRE ECONOMY (2P/4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/fiat/palio-fire-economy-(2p%2F4p)/ano.2014/4b6e315e-dd9e-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158525349_89f7409f-4081-4aed-9a4b-a8f66fe7e4ed_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2013,166.623,13800.00,Leilão ao vivo em: 3 dias11m50s,15/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,24957.00,FIAT,PALIO,FIRE ECONOMY (2P/4P)
FORD/KA HATCH SE 1.0 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-hatch-se-1.0-(4p)/ano.2015/a88f8ede-e9fe-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158491844_54512774-0f5c-4b20-87ca-38a98f442feb_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2015,216.049,19400.00,Leilão ao vivo em: 3 dias12m18s,15/07/2025,Flex,Branca,Não,Recuperado de Financiamento,Carros,35220.00,FORD,KA,HATCH SE 1.0 (4P)
LAND ROVER/EVOQUE PURE P5D,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/land-rover/evoque-pure-p5d/ano.2012/b152b705-f515-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158464398_7662e499-0222-47d2-a7ba-408a8011c689_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2012,160.722,47300.00,Leilão ao vivo em: 3 dias12m47s,15/07/2025,Gasolina,Preta,Sim,Recuperado de Financiamento,Carros,85819.00,LAND ROVER,EVOQUE,PURE P5D
CITROEN/C4 EXCLUSIVE A 5P F (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/citroen/c4-exclusive-a-5p-f-(4p)/ano.2011/9cdf072b-f542-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158524317_32bb7d38-afc9-46c2-b884-7068e2372820_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2010,228.870,15600.00,Leilão ao vivo em: 3 dias13m16s,15/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,28357.00,CITROEN,C4,EXCLUSIVE A 5P F (4P)
FIAT/MOBI EASY (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/mobi-easy-(4p)/ano.2018/2a010ee4-79e7-11ef-b484-02420a00006a,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158431444_f042b7e9-9295-4615-a2af-2a783e492331_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2017,109.015,20500.00,Leilão ao vivo em: 3 dias13m44s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,37265.00,FIAT,MOBI,EASY (4P)
NISSAN/FRONTIER SE 25 4X4 CABINE DUPLA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/frontier-se-25-4x4-cabine-dupla/ano.2011/8b4aebb4-00e5-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158401080_ab4a0ea3-078c-4608-9d9c-e276ae2269f6_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2010,197.160,40300.00,Leilão ao vivo em: 3 dias14m14s,15/07/2025,Diesel,Bege,Sim,-,Carros,73178.00,NISSAN,FRONTIER,SE 25 4X4 CABINE DUPLA
CITROEN/C4 ATF TENDANCE (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/citroen/c4-atf-tendance-(4p)/ano.2014/673125e3-04ec-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158374303_26ff3881-e276-4386-a7e1-49b6738f9d16_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2013,184.210,22600.00,Leilão ao vivo em: 3 dias15m13s,15/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,41082.00,CITROEN,C4,ATF TENDANCE (4P)
VOLKSWAGEN/GOL 1.0 GIV (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-1.0-giv-(2p%2F4p)/ano.2009/d4afedfd-10ce-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158611032_4ce8734b-8267-4217-8093-cf73b36af68e_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2008,215.642,13600.00,Leilão ao vivo em: 3 dias15m42s,15/07/2025,Flex,Cinza,Sim,-,Carros,20804.00,VOLKSWAGEN,GOL,1.0 GIV (2P/4P)
HONDA/CIVIC LXL FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/honda/civic-lxl-flex-(4p)/ano.2011/101c278c-13b9-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158341259_2fa6bfa5-6e6b-4dd7-91d5-560102cb0099_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2011,143.837,29200.00,Leilão ao vivo em: 3 dias16m12s,15/07/2025,Flex,Cinza,Sim,Recuperado de Financiamento,Carros,52387.00,HONDA,CIVIC,LXL FLEX (4P)
LAND ROVER/FREELANDER2 SD4 SE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/land-rover/freelander2-sd4-se/ano.2012/74b7d85e-1afd-11f0-abeb-02420a0000a3,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158284067_e8324706-984c-4b15-95a9-53f5c1f1d521_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2012,194.263,33900.00,Leilão ao vivo em: 3 dias16m41s,15/07/2025,Diesel,Branca,Sim,-,Carros,61562.00,LAND ROVER,FREELANDER2,SD4 SE
FORD/KA SE PLUS AT C,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-se-plus-at-c/ano.2020/f940bd37-1fbc-11f0-abeb-02420a0000a3,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158253534_1b34d90e-cd1c-4b0f-a668-e3335e084bf6_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2019,93.751,34100.00,Leilão ao vivo em: 3 dias17m10s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,59264.00,FORD,KA,SE PLUS AT C
FORD/FIESTA FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-flex-(4p)/ano.2011/0bdd7656-2505-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158310510_b07955bd-13ef-4e67-ad09-1ef9240e1685_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2010,123.058,13200.00,Leilão ao vivo em: 3 dias17m39s,15/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,23929.00,FORD,FIESTA,FLEX (4P)
CITROEN/C4 PALLAS GAF (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/citroen/c4-pallas-gaf-(4p)/ano.2010/0f0d708d-300a-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158730346_0efd1d3a-916b-427f-a5f3-f05d9beea8ca_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2010,227.940,12900.00,Leilão ao vivo em: 3 dias18m9s,15/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,23399.00,CITROEN,C4,PALLAS GAF (4P)
FIAT/SIENA FIRE FLEX (2P/4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/fiat/siena-fire-flex-(2p%2F4p)/ano.2010/c63f2f85-0e5f-11f0-8c72-02420a00002d,https://leilo.com.br/lote/fotos-modelo/carro.jpg,BRASILIA-DF (TAGUATINGA/DF),2009,290.288,13200.00,Leilão ao vivo em: 3 dias20m8s,15/07/2025,Flex,Cinza,Sim,Recuperado de Financiamento,Carros,25072.00,FIAT,SIENA,FIRE FLEX (2P/4P)
FORD/KA FLEX (2P),https://leilo.com.br/leilao/campo-grande-mato-grosso-do-sul/carros/ford/ka-flex-(2p)/ano.2009/6a05e86f-ab73-11ef-8e48-02420a000017,https://leilo.com.br/lote/fotos-modelo/carro.jpg,CAMPO GRANDE-MS (CAMPO GRANDE/MS),2009,137.114,9600.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,18068.00,FORD,KA,FLEX (2P)
LIFAN/X60 VIP,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/lifan/x60-vip/ano.2016/a1c10f53-ee29-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172950393_c42cec08-dbb7-4c84-a3ed-e6186f03978a_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2015,119.737,23500.00,Leilão ao vivo em: 3 dias22m5s,15/07/2025,Gasolina,Branca,Sim,Recuperado de Financiamento,Carros,42558.00,LIFAN,X60,VIP
FIAT/LINEA ESSENCE (4P),https://leilo.com.br/leilao/candeias-bahia/carros/fiat/linea-essence-(4p)/ano.2014/d15ac9a7-0eff-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172861045_890ee4d2-953f-45fd-9d09-6877dedfe197_pequena_leilo.webp,PATIO SALVADOR-BA (CANDEIAS/BA),2013,N/A,17200.00,Leilão ao vivo em: 3 dias23m5s,15/07/2025,Flex,Branca,Sim,-,Carros,31296.00,FIAT,LINEA,ESSENCE (4P)
VOLKSWAGEN/SAVEIRO CABINE DUPLA CROSS MA,https://leilo.com.br/leilao/cuiaba-mato-grosso/carros/volkswagen/saveiro-cabine-dupla-cross-ma/ano.2016/254ffb8b-13f1-11f0-b6cf-02420a00009e,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752174181085_e3de3c98-26a1-4c61-914b-0698259b3685_pequena_leilo.webp,CUIABA-MT (CUIABÁ/MT),2015,126.083,39200.00,Leilão ao vivo em: 3 dias24m4s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,70956.00,VOLKSWAGEN,SAVEIRO,CABINE DUPLA CROSS MA
RENAULT/DUSTER E 4X2,https://leilo.com.br/leilao/cuiaba-mato-grosso/carros/renault/duster-e-4x2/ano.2017/57887d90-e88c-11ef-903d-02420a000042,https://leilo.com.br/lote/fotos-modelo/carro.jpg,CUIABA-MT (CUIABÁ/MT),2016,261.350,33900.00,Leilão ao vivo em: 3 dias24m34s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,61518.00,RENAULT,DUSTER,E 4X2
RENAULT/DUSTER D,https://leilo.com.br/leilao/campo-grande-mato-grosso-do-sul/carros/renault/duster-d/ano.2016/40f75426-f435-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173700642_bf2d7a2d-a6f9-422d-ac6d-bd19237fe6ad_pequena_leilo.webp,CAMPO GRANDE-MS (CAMPO GRANDE/MS),2015,117.934,32200.00,Leilão ao vivo em: 3 dias25m3s,15/07/2025,Flex,Marrom,Sim,-,Carros,58684.00,RENAULT,DUSTER,D
VOLKSWAGEN/VOYAGE 1.0 (4P),https://leilo.com.br/leilao/campo-grande-mato-grosso-do-sul/carros/volkswagen/voyage-1.0-(4p)/ano.2011/2bf3b7aa-e3c6-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752233771574_f03fa093-9a01-43c5-983f-9ff698c32a3e_pequena_leilo.webp,CAMPO GRANDE-MS (CAMPO GRANDE/MS),2010,243.166,15500.00,Leilão ao vivo em: 3 dias25m32s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,28221.00,VOLKSWAGEN,VOYAGE,1.0 (4P)
VOLKSWAGEN/NIVUS HIGHLINE TSI AD,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/nivus-highline-tsi-ad/ano.2021/b6a116fa-b886-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752238833412_b8d66e12-39c6-4f34-83f7-4b22e37efb72_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2020,97.148,60100.00,Leilão ao vivo em: 3 dias26m32s,15/07/2025,Flex,Cinza,Sim,Recuperado de Financiamento,Carros,106327.00,VOLKSWAGEN,NIVUS,HIGHLINE TSI AD
RENAULT/KWID INTENSE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/kwid-intense-(4p)/ano.2019/0b1aa0c2-3fbb-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752238865061_9f78629f-e38a-40ec-93fb-be1a37dd392a_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2018,174.749,22500.00,Leilão ao vivo em: 3 dias27m1s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,40756.00,RENAULT,KWID,INTENSE (4P)
CHEVROLET/PRISMA JOYE 1.0 MECANICO (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/prisma-joye-1.0-mecanico-(4p)/ano.2019/22a84d97-5a47-11ef-ae95-02420a0000a0,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752238896394_eaaf4282-fe7b-4cc0-8e34-7ff7a635372a_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2019,119.562,27200.00,Leilão ao vivo em: 3 dias27m29s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,47837.00,CHEVROLET,PRISMA,JOYE 1.0 MECANICO (4P)
FORD/KA HATCH SE 1.0 B (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-hatch-se-1.0-b-(4p)/ano.2018/cf6af412-3002-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752238804085_af890a85-f7ba-499c-b917-a8a34094de55_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2017,78.515,22500.00,Leilão ao vivo em: 3 dias27m59s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,40856.00,FORD,KA,HATCH SE 1.0 B (4P)
FIAT/WEEKEND ATTRACTIVE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/weekend-attractive/ano.2017/1f8d62d4-dfdf-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752238953056_565197fb-5a62-4fd8-bd66-72f61b854351_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2017,340.290,22600.00,Leilão ao vivo em: 3 dias28m58s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,41671.00,FIAT,WEEKEND,ATTRACTIVE
VOLKSWAGEN/UP MOVE MB TSI (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/up-move-mb-tsi-(4p)/ano.2016/caac8dd7-2f5a-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239016823_907d3e7d-77f6-49e3-bf5f-cf19c8afa3fc_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2015,226.053,26500.00,Leilão ao vivo em: 3 dias29m58s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,48049.00,VOLKSWAGEN,UP,MOVE MB TSI (4P)
MERCEDES-BENZ/GLAZ00FF,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mercedes-benz/glaz00ff/ano.2016/0ff34db7-3578-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239049510_4eaee169-f984-4a42-8c1b-e7724510d26d_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2015,104.634,57600.00,Leilão ao vivo em: 3 dias30m16s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,104719.00,MERCEDES-BENZ,GLAZ00FF,N/A
CHEVROLET/PRISMA MAXX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/prisma-maxx-(4p)/ano.2009/1b1592cf-d198-11ee-843f-02420a00007b,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2009,102.289,13300.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,Flex,Cinza,Sim,Recuperado de Financiamento,Carros,25502.00,CHEVROLET,PRISMA,MAXX (4P)
FORD/RANGER XLS CABINE DUPLA 4X2 2.5,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ranger-xls-cabine-dupla-4x2-2.5/ano.2015/a9e49783-9234-11ef-b411-02420a0000bf,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752238746544_830c192e-370f-42f7-b1fa-7e80f9854766_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2014,177.795,47100.00,Leilão ao vivo em: 3 dias31m15s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,85982.00,FORD,RANGER,XLS CABINE DUPLA 4X2 2.5
FIAT/SIENA ELX FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/siena-elx-flex-(4p)/ano.2007/653e899d-4a27-11ed-a391-02420a000011,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2006,1.165.529,10000.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,Flex,Branca,Sim,-,Carros,21523.00,FIAT,SIENA,ELX FLEX (4P)
FIAT/SIENA EL FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/siena-el-flex-(4p)/ano.2015/73ad0c8a-cf62-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752238710354_28f0ef44-d7da-446f-9320-64c1e6def348_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2014,275.436,20800.00,Leilão ao vivo em: 3 dias32m44s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,37670.00,FIAT,SIENA,EL FLEX (4P)
