Título,Link,Imagem,UF,Ano,KM,Valor do Lance,Situação,Data Leilão,Detalhe Ano Veículo,Detalhe Combustível,Detalhe KM Veículo,Detalhe Valor Mercado,Detalhe Cor,Detalhe Possui Chave,Detalhe Tipo Retomada,Detalhe Localização,Detalhe Tipo Veículo
VOLKSWAGEN/POLO MCA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/polo-mca/ano.2018/5e069401-0ffc-11f0-8c72-02420a00002d,N/A,GO,2018,77.529 km,"R$ 39.400,00",Leilão ao vivo em: 2 dias 1h36m15s,24/06/2025,,,,,,,,,
CHEVROLET/CORSA SEDAN PREMIUM (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/corsa-sedan-premium-(2p%2F4p)/ano.2011/c5436989-29bf-11f0-9f79-02420a000005,N/A,GO,2010,N/A,"R$ 16.000,00",Leilão ao vivo em: 2 dias 1h36m37s,24/06/2025,,,,,,,,,
RENAULT/SANDERO AUTHENTIQUE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/sandero-authentique-(4p)/ano.2020/9dc0f165-3bc7-11f0-b593-02420a000005,N/A,GO,2019,91.922 km,"R$ 25.500,00",Leilão ao vivo em: 2 dias 1h36m58s,24/06/2025,,,,,,,,,
VOLKSWAGEN/FOX GII 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.0-(2p%2F4p)/ano.2011/821d9f05-3265-11f0-9f79-02420a000005,N/A,GO,2010,361.197 km,"R$ 15.800,00",Leilão ao vivo em: 2 dias 1h37m16s,24/06/2025,,,,,,,,,
CITROEN/C4 EXCLUSIVE A 5P F (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/citroen/c4-exclusive-a-5p-f-(4p)/ano.2010/6584a882-1088-11f0-8c72-02420a00002d,N/A,GO,2009,N/A,"R$ 8.300,00",Leilão ao vivo em: 2 dias 1h37m38s,24/06/2025,,,,,,,,,
FORD/FOCUS HC FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/focus-hc-flex-(4p)/ano.2011/61ccad1e-34e3-11f0-9f79-02420a000005,N/A,GO,2010,N/A,"R$ 18.100,00",Leilão ao vivo em: 2 dias 1h37m59s,24/06/2025,,,,,,,,,
VOLKSWAGEN/FOX GII 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.0-(2p%2F4p)/ano.2011/69c88b4c-4163-11f0-b593-02420a000005,N/A,GO,2010,153.665 km,"R$ 12.000,00",Leilão ao vivo em: 2 dias 1h38m23s,24/06/2025,,,,,,,,,
CHEVROLET/PRISMA JOYE 1.0 MECANICO (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/prisma-joye-1.0-mecanico-(4p)/ano.2019/19f4c42f-3a38-11f0-9677-02420a00000b,N/A,GO,2018,294.887 km,"R$ 23.000,00",Leilão ao vivo em: 2 dias 1h39m16s,24/06/2025,,,,,,,,,
FIAT/PUNTO ATTRACTIVE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/punto-attractive-(4p)/ano.2013/01a16a85-1a32-11f0-bf87-02420a000088,N/A,GO,2013,165.684 km,"R$ 20.700,00",Leilão ao vivo em: 2 dias 1h39m39s,24/06/2025,,,,,,,,,
FIAT/SIENA TETRAFUEL 1.4 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/siena-tetrafuel-1.4-(4p)/ano.2014/17cf3c03-2431-11f0-bcc9-02420a000216,N/A,GO,2013,121.131 km,"R$ 19.200,00",Leilão ao vivo em: 2 dias 1h40m31s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2009/7ff237a0-301e-11f0-9f79-02420a000005,N/A,GO,2009,154.980 km,"R$ 13.300,00",Leilão ao vivo em: 2 dias 1h40m46s,24/06/2025,,,,,,,,,
HYUNDAI/HB20S VISION,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20s-vision/ano.2022/4401fc0d-3319-11f0-9f79-02420a000005,N/A,GO,2021,54.590 km,"R$ 41.400,00",Leilão ao vivo em: 2 dias 1h41m10s,24/06/2025,,,,,,,,,
VOLKSWAGEN/FOX GII 1.6 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.6-(4p%2F2p)/ano.2013/5647e43f-34b9-11f0-9f79-02420a000005,N/A,GO,2013,217.022 km,"R$ 17.000,00",Leilão ao vivo em: 2 dias 1h41m35s,24/06/2025,,,,,,,,,
FIAT/UNO MILLE ECONOMY (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/uno-mille-economy-(2p%2F4p)/ano.2012/e5b098fa-3662-11f0-bd5d-02420a000005,N/A,GO,2011,174.238 km,"R$ 11.000,00",Leilão ao vivo em: 2 dias 1h42m56s,24/06/2025,,,,,,,,,
FORD/KA SEL B (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-sel-b-(4p)/ano.2017/15fd2d79-3673-11f0-bd5d-02420a000005,N/A,GO,2016,207.879 km,"R$ 23.600,00",Leilão ao vivo em: 2 dias 1h44m51s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL MC5 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mc5-(4p%2F2p)/ano.2022/f8200357-3704-11f0-bd5d-02420a000005,N/A,GO,2021,121.381 km,"R$ 29.300,00",Leilão ao vivo em: 2 dias 1h45m13s,24/06/2025,,,,,,,,,
HONDA/FIT EX CVT (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/honda/fit-ex-cvt-(4p)/ano.2015/d61c555d-3a54-11f0-9677-02420a00000b,N/A,GO,2014,104.810 km,"R$ 35.600,00",Leilão ao vivo em: 2 dias 1h46m38s,24/06/2025,,,,,,,,,
VOLKSWAGEN/NOVO GOL (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-gol-(2p%2F4p)/ano.2013/4db0df72-3007-11f0-9f79-02420a000005,N/A,GO,2012,124.388 km,"R$ 16.100,00",Leilão ao vivo em: 2 dias 1h47m27s,24/06/2025,,,,,,,,,
FORD/FIESTA HATCH S (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-hatch-s-(4p)/ano.2014/9d7c45e1-3b07-11f0-b593-02420a000005,N/A,GO,2013,150.770 km,"R$ 17.000,00",Leilão ao vivo em: 2 dias 1h47m52s,24/06/2025,,,,,,,,,
VOLKSWAGEN/FOX COMFORTLINE MBV (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-comfortline-mbv-(4p%2F2p)/ano.2017/5d0dbeac-3b25-11f0-b593-02420a000005,N/A,GO,2016,110.001 km,"R$ 27.000,00",Leilão ao vivo em: 2 dias 1h48m12s,24/06/2025,,,,,,,,,
MITSUBISHI/LANCER (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mitsubishi/lancer-(4p)/ano.2013/7babbdd0-318f-11f0-9f79-02420a000005,N/A,GO,2012,144.355 km,"R$ 29.800,00",Leilão ao vivo em: 2 dias 1h48m37s,24/06/2025,,,,,,,,,
AUDI/A4 TFSI (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/audi/a4-tfsi-(4p)/ano.2014/fa28f9e0-3b2b-11f0-b593-02420a000005,N/A,GO,2014,95.893 km,"R$ 44.800,00",Leilão ao vivo em: 2 dias 1h48m54s,24/06/2025,,,,,,,,,
FORD/KA SEL B (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-sel-b-(4p)/ano.2017/f37e117a-3d65-11f0-b593-02420a000005,N/A,GO,2016,N/A,"R$ 17.000,00",Leilão ao vivo em: 2 dias 1h49m46s,24/06/2025,,,,,,,,,
FORD/FOCUS TITANIUM AT SC (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/focus-titanium-at-sc-(4p)/ano.2016/deff3772-3d7b-11f0-b593-02420a000005,N/A,GO,2016,178.859 km,"R$ 33.000,00",Leilão ao vivo em: 2 dias 1h50m38s,24/06/2025,,,,,,,,,
RENAULT/KWID INTENSE 2 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/kwid-intense-2-(4p)/ano.2023/3601c950-406f-11f0-b593-02420a000005,N/A,GO,2022,63.499 km,"R$ 30.500,00",Leilão ao vivo em: 2 dias 1h50m58s,24/06/2025,,,,,,,,,
RENAULT/LOGAN ZEN,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/logan-zen/ano.2023/22458b7d-408c-11f0-b593-02420a000005,N/A,GO,2022,138.942 km,"R$ 30.000,00",Leilão ao vivo em: 2 dias 1h51m23s,24/06/2025,,,,,,,,,
VOLKSWAGEN/TIGUAN TSI,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/tiguan-tsi/ano.2011/63acf323-40a0-11f0-b593-02420a000005,N/A,GO,2011,148.523 km,"R$ 24.000,00",Leilão ao vivo em: 2 dias 1h51m46s,24/06/2025,,,,,,,,,
RENAULT/KWID ZEN 1.0 MECANICO (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/kwid-zen-1.0-mecanico-(4p)/ano.2022/595ce0b9-40a5-11f0-b593-02420a000005,N/A,GO,2021,208.206 km,"R$ 23.000,00",Leilão ao vivo em: 2 dias 1h52m9s,24/06/2025,,,,,,,,,
RENAULT/CLIO EXPRESSION 10 16VH (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/clio-expression-10-16vh-(4p%2F2p)/ano.2014/33890cea-40ab-11f0-b593-02420a000005,N/A,GO,2013,117.171 km,"R$ 13.000,00",Leilão ao vivo em: 2 dias 1h52m28s,24/06/2025,,,,,,,,,
FIAT/IDEA ATTRACTIVE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/idea-attractive/ano.2012/b490929c-4135-11f0-b593-02420a000005,N/A,GO,2012,156.228 km,"R$ 17.800,00",Leilão ao vivo em: 2 dias 1h52m53s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL MB5 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mb5-(4p%2F2p)/ano.2019/875d5000-415e-11f0-b593-02420a000005,N/A,GO,2019,152.984 km,"R$ 26.000,00",Leilão ao vivo em: 2 dias 1h53m14s,24/06/2025,,,,,,,,,
VOLKSWAGEN/FOX GII 1.6 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.6-(4p%2F2p)/ano.2012/9c49093a-416a-11f0-b593-02420a000005,N/A,GO,2011,216.094 km,"R$ 17.400,00",Leilão ao vivo em: 2 dias 1h53m38s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL MC4 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2020/d70d71de-462f-11f0-b593-02420a000005,N/A,GO,2019,58.722 km,"R$ 30.200,00",Leilão ao vivo em: 2 dias 1h55m31s,24/06/2025,,,,,,,,,
VOLKSWAGEN/NOVA SAVEIRO CABINE ESTENDIDA (2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/nova-saveiro-cabine-estendida-(2p)/ano.2014/da9dbc02-463b-11f0-b593-02420a000005,N/A,GO,2013,143.586 km,"R$ 26.200,00",Leilão ao vivo em: 2 dias 1h55m55s,24/06/2025,,,,,,,,,
FIAT/PALIO ATTRACT (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-attract-(4p)/ano.2015/486df81e-1ab6-11f0-abeb-02420a0000a3,N/A,GO,2014,110.509 km,"R$ 21.900,00",Leilão ao vivo em: 2 dias 1h55m54s,24/06/2025,,,,,,,,,
RENAULT/SANDERO AUTHENTIQUE (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/sandero-authentique-(2p%2F4p)/ano.2016/a1b0d4d6-2b3c-11f0-9f79-02420a000005,N/A,GO,2015,156.829 km,"R$ 17.400,00",Leilão ao vivo em: 2 dias 1h56m3s,24/06/2025,,,,,,,,,
FIAT/FREEMONT PRECISIO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/freemont-precisio/ano.2012/d2675259-0b3a-11f0-8c72-02420a00002d,N/A,GO,2012,165.821 km,"R$ 24.000,00",Leilão ao vivo em: 2 dias 1h56m52s,24/06/2025,,,,,,,,,
MINI/COOPER S (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mini/cooper-s-(2p%2F4p)/ano.2015/d7a6c0c3-213b-11f0-bcc9-02420a000216,N/A,GO,2014,148.654 km,"R$ 53.000,00",Leilão ao vivo em: 2 dias 1h57m13s,24/06/2025,,,,,,,,,
VOLVO/XC60 T5 DYNAMIC,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volvo/xc60-t5-dynamic/ano.2014/eac0a681-1a37-11f0-bf87-02420a000088,N/A,GO,2013,200.464 km,"R$ 35.000,00",Leilão ao vivo em: 2 dias 1h57m39s,24/06/2025,,,,,,,,,
FORD/KA SE PLUS AT C,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-se-plus-at-c/ano.2021/50b0e50f-2080-11f0-bcc9-02420a000216,N/A,GO,2020,90.345 km,"R$ 30.500,00",Leilão ao vivo em: 2 dias 1h57m58s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX PLUS 10MT LT2,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-plus-10mt-lt2/ano.2024/3f179089-0be7-11f0-8c72-02420a00002d,N/A,GO,2023,75.593 km,"R$ 42.600,00",Leilão ao vivo em: 2 dias 1h58m13s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX PLUS 10TAT PR2,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-plus-10tat-pr2/ano.2024/2f6b86a4-14a4-11f0-b6cf-02420a00009e,N/A,GO,2023,61.736 km,"R$ 57.600,00",Leilão ao vivo em: 2 dias 1h58m37s,24/06/2025,,,,,,,,,
CITROEN/C3 GLX 14 FLEX (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/citroen/c3-glx-14-flex-(2p%2F4p)/ano.2009/cac69f94-eaf0-11ef-bd15-02420a00000b,N/A,GO,2009,N/A,"R$ 8.000,00",Leilão ao vivo em: 2 dias 1h58m55s,24/06/2025,,,,,,,,,
VOLKSWAGEN/SAVEIRO CABINE DUPLA CROSS MA,https://leilo.com.br/leilao/cuiaba-mato-grosso/carros/volkswagen/saveiro-cabine-dupla-cross-ma/ano.2016/254ffb8b-13f1-11f0-b6cf-02420a00009e,N/A,MT,2015,126.083 km,"R$ 39.200,00",Leilão ao vivo em: 2 dias 1h59m18s,24/06/2025,,,,,,,,,
I/FORD FOCUS 1.6L HA (4P),https://leilo.com.br/leilao/campo-grande-mato-grosso-do-sul/carros/i/ford-focus-1.6l-ha-(4p)/ano.2005/73aa4c11-d305-11ee-843f-02420a00007b,N/A,MS,2004,189.646 km,"R$ 8.200,00",Leilão ao vivo em: 2 dias 1h59m38s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX LT 1.0 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-lt-1.0-(4p)/ano.2019/d5451fb1-b23e-11ef-8e48-02420a000017,N/A,GO,2019,63.276 km,"R$ 29.900,00",Leilão ao vivo em: 2 dias 1h59m58s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX 10TAT HB,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-10tat-hb/ano.2022/f415e39b-2a8c-11f0-9f79-02420a000005,N/A,GO,2022,131.496 km,"R$ 39.700,00",Leilão ao vivo em: 2 dias 2h22s,24/06/2025,,,,,,,,,
CHEVROLET/COBALT LT (4P),https://leilo.com.br/leilao/sao-paulo-sao-paulo/carros/chevrolet/cobalt-lt-(4p)/ano.2020/9fa786c3-94a4-11ef-9088-02420a0000e0,N/A,SP,2019,196.633 km,"R$ 33.400,00",Leilão ao vivo em: 2 dias 2h44s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX 10TMT LT1,https://leilo.com.br/leilao/sao-paulo-sao-paulo/carros/chevrolet/onix-10tmt-lt1/ano.2022/61d03a3e-454c-11f0-b593-02420a000005,N/A,SP,2021,151.245 km,"R$ 40.200,00",Leilão ao vivo em: 2 dias 2h1m7s,24/06/2025,,,,,,,,,
VOLKSWAGEN/VOYAGE MB5 (4P),https://leilo.com.br/leilao/sao-paulo-sao-paulo/carros/volkswagen/voyage-mb5-(4p)/ano.2020/bfcc021e-454c-11f0-b593-02420a000005,N/A,SP,2019,93.327 km,"R$ 28.100,00",Leilão ao vivo em: 2 dias 2h1m28s,24/06/2025,,,,,,,,,
RENAULT/LOGAN ZEN,https://leilo.com.br/leilao/sao-paulo-sao-paulo/carros/renault/logan-zen/ano.2021/e749e37d-454c-11f0-b593-02420a000005,N/A,SP,2020,106.687 km,"R$ 28.100,00",Leilão ao vivo em: 2 dias 2h1m52s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX PLUS 10TAT LTZ,https://leilo.com.br/leilao/manaus-amazonas/carros/chevrolet/onix-plus-10tat-ltz/ano.2020/38ffea88-10c1-11f0-8c72-02420a00002d,N/A,AM,2019,112.967 km,"R$ 48.600,00",Leilão ao vivo em: 2 dias 2h2m14s,24/06/2025,,,,,,,,,
TOYOTA/COROLLA XEI,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/toyota/corolla-xei/ano.2023/a99762d8-2068-11f0-bcc9-02420a000216,N/A,DF,2023,173.216 km,"R$ 75.300,00",Leilão ao vivo em: 2 dias 2h2m37s,24/06/2025,,,,,,,,,
HYUNDAI/HB20 UNIQUE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20-unique-(4p)/ano.2019/c1dd4215-275c-11f0-9f79-02420a000005,N/A,GO,2018,153.820 km,"R$ 29.100,00",Leilão ao vivo em: 2 dias 2h4m26s,24/06/2025,,,,,,,,,
FIAT/IDEA ACTIVE FLEX,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/idea-active-flex/ano.2008/48cd43a4-0047-11f0-8c72-02420a00002d,N/A,GO,2008,246.343 km,"R$ 13.600,00",Leilão ao vivo em: 2 dias 2h4m48s,24/06/2025,,,,,,,,,
FORD/FIESTA 1.6 FLEX (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-1.6-flex-(2p%2F4p)/ano.2013/75e2e257-7747-11ef-8b26-02420a000015,N/A,GO,2012,180.539 km,"R$ 17.000,00",Leilão ao vivo em: 2 dias 2h5m10s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL TRENDLINE MB (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-trendline-mb-(2p%2F4p)/ano.2016/24ce33cf-de4b-11ef-903d-02420a000042,N/A,GO,2015,156.746 km,"R$ 21.800,00",Leilão ao vivo em: 2 dias 2h5m36s,24/06/2025,,,,,,,,,
MERCEDES-BENZ/C-180,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mercedes-benz/c-180/ano.2019/6f81da4d-d376-11ef-903d-02420a000042,N/A,GO,2018,90.784 km,"R$ 78.100,00",Leilão ao vivo em: 2 dias 2h5m57s,24/06/2025,,,,,,,,,
FORD/FIESTA FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-flex-(4p)/ano.2011/0bdd7656-2505-11f0-bcc9-02420a000216,N/A,GO,2010,123.058 km,"R$ 13.200,00",Leilão ao vivo em: 2 dias 2h6m21s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX LT 1.4 MECANICO (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/chevrolet/onix-lt-1.4-mecanico-(4p)/ano.2015/7721bb88-1b87-11f0-abeb-02420a0000a3,N/A,DF,2014,154.943 km,"R$ 26.100,00",Leilão ao vivo em: 2 dias 2h6m43s,24/06/2025,,,,,,,,,
FIAT/PALIO FIRE ECONOMY (2P/4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/fiat/palio-fire-economy-(2p%2F4p)/ano.2014/4b6e315e-dd9e-11ef-903d-02420a000042,N/A,DF,2013,166.623 km,"R$ 13.800,00",Leilão ao vivo em: 2 dias 2h7m7s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX LT 1.4 MECANICO (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-lt-1.4-mecanico-(4p)/ano.2013/2acf24b5-0e48-11f0-8c72-02420a00002d,N/A,GO,2012,142.304 km,"R$ 22.900,00",Leilão ao vivo em: 2 dias 2h7m28s,24/06/2025,,,,,,,,,
FORD/KA SEL (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-sel-(4p)/ano.2015/faa93a3c-ff44-11ef-8c72-02420a00002d,N/A,GO,2015,275.604 km,"R$ 21.400,00",Leilão ao vivo em: 2 dias 2h7m52s,24/06/2025,,,,,,,,,
FORD/FIESTA FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-flex-(4p)/ano.2009/6093128e-001a-11f0-8c72-02420a00002d,N/A,GO,2009,138.231 km,"R$ 11.000,00",Leilão ao vivo em: 2 dias 2h8m10s,24/06/2025,,,,,,,,,
CHEVROLET/SPIN 18L AT PREMIER,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/spin-18l-at-premier/ano.2023/b7793842-f5e5-11ef-bd15-02420a00000b,N/A,GO,2022,120.307 km,"R$ 51.800,00",Leilão ao vivo em: 2 dias 2h8m31s,24/06/2025,,,,,,,,,
LAND ROVER/EVOQUE PURE P5D,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/land-rover/evoque-pure-p5d/ano.2012/b152b705-f515-11ef-bd15-02420a00000b,N/A,GO,2012,160.722 km,"R$ 49.000,00",Leilão ao vivo em: 2 dias 2h8m53s,24/06/2025,,,,,,,,,
FIAT/UNO ATTRACTIVE (4P/2P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/fiat/uno-attractive-(4p%2F2p)/ano.2020/af91111e-b728-11ef-8e48-02420a000017,N/A,DF,2019,225.343 km,"R$ 22.700,00",Leilão ao vivo em: 2 dias 2h9m46s,24/06/2025,,,,,,,,,
FORD/KA HATCH SE 1.0 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-hatch-se-1.0-(4p)/ano.2015/a88f8ede-e9fe-11ef-903d-02420a000042,N/A,GO,2015,216.049 km,"R$ 19.800,00",Leilão ao vivo em: 2 dias 2h10m8s,24/06/2025,,,,,,,,,
FIAT/PALIO FIRE (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-fire-(4p%2F2p)/ano.2016/aed06aa4-e00b-11ef-903d-02420a000042,N/A,GO,2015,185.062 km,"R$ 17.800,00",Leilão ao vivo em: 2 dias 2h10m28s,24/06/2025,,,,,,,,,
PEUGEOT/307 PRESENCE PACK (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/307-presence-pack-(4p)/ano.2009/4cf556b3-4a27-11ed-a391-02420a000011,N/A,GO,2008,N/A,"R$ 12.500,00",Leilão ao vivo em: 2 dias 2h10m50s,24/06/2025,,,,,,,,,
FORD/FIESTA SEDAN 1.6 FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-sedan-1.6-flex-(4p)/ano.2012/ec3fcab3-ccf8-11ef-8e48-02420a000017,N/A,GO,2011,N/A,"R$ 17.000,00",Leilão ao vivo em: 2 dias 2h11m5s,24/06/2025,,,,,,,,,
PORSCHE/CAYENNE V6,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/porsche/cayenne-v6/ano.2008/9d670479-d1ba-11ef-903d-02420a000042,N/A,GO,2007,143.410 km,"R$ 45.300,00",Leilão ao vivo em: 2 dias 2h11m27s,24/06/2025,,,,,,,,,
JEEP/RENEGADE LONGITUDE AUTOMATICO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/jeep/renegade-longitude-automatico/ano.2021/a09779eb-25d1-11f0-bcc9-02420a000216,N/A,GO,2021,88.657 km,"R$ 48.700,00",Leilão ao vivo em: 2 dias 2h11m52s,24/06/2025,,,,,,,,,
FIAT/UNO VIVACE 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/uno-vivace-1.0-(2p%2F4p)/ano.2012/4e7e6e07-17a1-11f0-b6cf-02420a00009e,N/A,GO,2011,141.085 km,"R$ 15.500,00",Leilão ao vivo em: 2 dias 2h12m16s,24/06/2025,,,,,,,,,
CHEVROLET/AGILE MT LTZ EF (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/chevrolet/agile-mt-ltz-ef-(4p)/ano.2014/b5aed137-29ac-11f0-9f79-02420a000005,N/A,DF,2013,118.618 km,"R$ 22.200,00",Leilão ao vivo em: 2 dias 2h12m41s,24/06/2025,,,,,,,,,
PEUGEOT/208 ACTIVE (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/peugeot/208-active-(4p)/ano.2018/c64b16d8-b184-11ef-8e48-02420a000017,N/A,DF,2017,135.034 km,"R$ 22.600,00",Leilão ao vivo em: 2 dias 2h13m6s,24/06/2025,,,,,,,,,
VOLKSWAGEN/VIRTUS MF,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/virtus-mf/ano.2019/32f21445-dda3-11ef-903d-02420a000042,N/A,GO,2018,135.958 km,"R$ 36.400,00",Leilão ao vivo em: 2 dias 2h13m28s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL MC4 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2021/c5a3506d-13bb-11f0-8c72-02420a00002d,N/A,GO,2020,254.013 km,"R$ 27.300,00",Leilão ao vivo em: 2 dias 2h13m53s,24/06/2025,,,,,,,,,
HYUNDAI/IX35 B,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/ix35-b/ano.2015/b3242527-302e-11f0-9f79-02420a000005,N/A,GO,2014,137.985 km,"R$ 39.600,00",Leilão ao vivo em: 2 dias 2h14m16s,24/06/2025,,,,,,,,,
HONDA/CR-V LX,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/honda/cr-v-lx/ano.2012/d46c2ca1-2134-11f0-bcc9-02420a000216,N/A,GO,2012,156.299 km,"R$ 38.600,00",Leilão ao vivo em: 2 dias 2h14m38s,24/06/2025,,,,,,,,,
LAND ROVER/DISCOVERY 4 HSE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/land-rover/discovery-4-hse/ano.2012/1e7dedcf-210f-11f0-bcc9-02420a000216,N/A,GO,2012,228.419 km,"R$ 55.100,00",Leilão ao vivo em: 2 dias 2h14m58s,24/06/2025,,,,,,,,,
